,Ann Vol
Russell 1000 Value,0.16891613085896845
Russell 1000 Growth,0.20618837221428102
Russell 2000 Value,0.2376813278041192
Russell 2000 Growth,0.2433293863238761
MSCI World Ex USA Value NR USD,0.1614381084161682
MSCI World Ex USA Growth NR USD,0.18967738345555263
MSCI World Ex USA Small Value NR USD,0.17492155016191574
MSCI World Ex USA Small Growth NR USD,0.19973178052554064
MSCI EM Value NR USD,0.1618751460609989
MSCI EM Growth NR USD,0.1954899314471762
MSCI EM Small Value NR USD,0.14422229634350547
MSCI EM Small Growth NR USD,0.16590109090854965
Bloomberg Barclays US Aggregate,0.07831929094405952
Bloomberg Barclays Global Aggregate x USD,0.10936279761644971
Bloomberg Barclays Global Inflation-Linked USD,0.11664689265055833
Bloomberg Barclays US Municipal Bond,0.07658303903346568
Bloomberg Barclays Global High Yield USD,0.09532536973297559
